"Date	Ref.	Potential Payout	Contract	Purchase Price	Sale Date	Sale Price	Profit/Loss (USD)	Details"
"2017-03-16 00:28:10 GMT	26254523168	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:28:27 GMT	0	-2	View"
"			View					"
"2017-03-16 00:27:52 GMT	26254515488	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:28:08 GMT	0	-1	View"
"			View					"
"2017-03-16 00:27:34 GMT	26254508868	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:27:51 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:27:16 GMT	26254501608	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:27:33 GMT	3.88	1.88	View"
"			View					"
"2017-03-16 00:26:58 GMT	26254493868	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:27:14 GMT	0	-1	View"
"			View					"
"2017-03-16 00:26:40 GMT	26254486428	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:26:57 GMT	3.88	1.88	View"
"			View					"
"2017-03-16 00:26:22 GMT	26254479168	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:26:38 GMT	0	-1	View"
"			View					"
"2017-03-16 00:26:04 GMT	26254472328	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:26:20 GMT	3.88	1.88	View"
"			View					"
"2017-03-16 00:25:46 GMT	26254464968	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:26:02 GMT	0	-1	View"
"			View					"
"2017-03-16 00:25:28 GMT	26254457288	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:25:44 GMT	3.88	1.88	View"
"			View					"
"2017-03-16 00:25:10 GMT	26254449988	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:25:26 GMT	0	-1	View"
"			View					"
"2017-03-16 00:24:52 GMT	26254441308	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:25:08 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:24:34 GMT	26254434348	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:24:50 GMT	3.88	1.88	View"
"			View					"
"2017-03-16 00:24:16 GMT	26254427048	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:24:32 GMT	0	-1	View"
"			View					"
"2017-03-16 00:23:28 GMT	26254408348	31.08	Win payout if Volatility 50 Index is strictly higher than entry spot at 45 seconds after contract start time.	16	2017-03-16 00:24:15 GMT	31.08	15.08	View"
"			View					"
